filepath,filename,sti_score,noise_damage_percent,reverb_damage_percent,snr_per_band,avg_snr,ti_per_band,ti_mtf,ti_noise,theoretical_rt60,theoretical_snr,snr_error,primary_issue
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.04s_ambient noise_SNR0dB.wav,stipa_1.04s_ambient noise_SNR0dB.wav,0.537,57.300,42.700,"[np.float64(-11.715317343806365), np.float64(18.378697505894262), np.float64(8.776030755956779), np.float64(12.568394904732525), np.float64(8.395670822228302), np.float64(6.024269789789704), np.float64(3.470837839021153)]",6.557,"[0.10948942 0.77737172 0.6251393  0.69809224 0.60723377 0.52695708
 0.4542375 ]","[0.43987276 0.77737172 0.6251393  0.69809224 0.60723377 0.52695708
 0.4542375 ]","[0.10948942 1.         0.79253436 0.9189465  0.77985569 0.70080899
 0.61569459]",1.040,0.000,6.557,Mixed
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.04s_ambient noise_SNR10dB.wav,stipa_1.04s_ambient noise_SNR10dB.wav,0.687,25.538,74.462,"[np.float64(0.3140713262182836), np.float64(28.268679689334398), np.float64(18.735483802366165), np.float64(22.5350299007464), np.float64(18.375716480179992), np.float64(16.02951722167344), np.float64(13.460288457792817)]",16.817,"[0.49058046 0.82888612 0.74581475 0.80923529 0.74142544 0.66085717
 0.59290767]","[0.49058046 0.82888612 0.74581475 0.80923529 0.74142544 0.66085717
 0.59290767]","[0.51046904 1.         1.         1.         1.         1.
 0.94867628]",1.040,10.000,6.817,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.30s_ambient noise_SNR-10dB.wav,stipa_1.30s_ambient noise_SNR-10dB.wav,0.478,42.930,57.070,"[0.0, np.float64(3.8012412718193693), np.float64(8.718831574781635), np.float64(9.598411393209808), np.float64(12.804024041564936), np.float64(6.695035787938853), np.float64(8.54886944146068)]",7.167,"[0.44330038 0.46636109 0.49102404 0.43158267 0.50345489 0.51001612
 0.50648056]","[0.44330038 0.46636109 0.49102404 0.43158267 0.50345489 0.51001612
 0.50648056]","[0.5        0.62670804 0.79062772 0.81994705 0.9268008  0.72316786
 0.78496231]",1.300,-10.000,17.167,Mixed
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.30s_ambient noise_SNR0dB.wav,stipa_1.30s_ambient noise_SNR0dB.wav,0.500,23.657,76.343,"[np.float64(-9.237061927550162), np.float64(13.80938232345823), np.float64(18.677581666546146), np.float64(19.599760519373607), np.float64(22.780071560900907), np.float64(16.69339529814217), np.float64(18.533035227473142)]",14.408,"[0.19209794 0.56179882 0.55077354 0.460403   0.53282401 0.61189531
 0.567734  ]","[0.44620096 0.56179882 0.55077354 0.460403   0.53282401 0.61189531
 0.567734  ]","[0.19209794 0.96031274 1.         1.         1.         1.
 1.        ]",1.300,0.000,14.408,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.30s_ambient noise_SNR10dB.wav,stipa_1.30s_ambient noise_SNR10dB.wav,0.554,14.553,85.447,"[np.float64(2.3190427846204447), np.float64(23.78241686039917), np.float64(28.547524989265124), np.float64(29.53348205131674), np.float64(32.53014334584445), np.float64(26.601778399317702), np.float64(28.364488391359863)]",24.526,"[0.51090488 0.58601807 0.56520049 0.46754974 0.5394924  0.63813576
 0.58083142]","[0.51090488 0.58601807 0.56520049 0.46754974 0.5394924  0.63813576
 0.58083142]","[0.57730143 1.         1.         1.         1.         1.
 1.        ]",1.300,10.000,14.526,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.55s_ambient noise_SNR-10dB.wav,stipa_1.55s_ambient noise_SNR-10dB.wav,0.388,80.126,19.874,"[np.float64(-8.62796237136275), np.float64(4.259436459487332), np.float64(7.82545324749564), np.float64(3.738492541755989), np.float64(1.4632018765988102), np.float64(-2.64802381473249), np.float64(5.464454701727987)]",1.639,"[0.21240125 0.43641449 0.53449337 0.39992888 0.40244063 0.30050151
 0.48972156]","[0.43467861 0.43641449 0.53449337 0.39992888 0.40244063 0.30050151
 0.48972156]","[0.21240125 0.64198122 0.76084844 0.62461642 0.5487734  0.41173254
 0.68214849]",1.550,-10.000,11.639,Noise
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.55s_ambient noise_SNR0dB.wav,stipa_1.55s_ambient noise_SNR0dB.wav,0.531,26.762,73.238,"[np.float64(2.17557003414649), np.float64(14.253465485800195), np.float64(17.803036306826606), np.float64(13.722366356559768), np.float64(11.450730130352444), np.float64(7.4144627980413444), np.float64(15.465442451576552)]",11.755,"[0.4829453  0.51371866 0.62069084 0.46151879 0.55673596 0.51138209
 0.60279458]","[0.4829453  0.51371866 0.62069084 0.46151879 0.55673596 0.51138209
 0.60279458]","[0.572519   0.97511552 1.         0.95741221 0.881691   0.74714876
 1.        ]",1.550,0.000,11.755,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.55s_ambient noise_SNR10dB.wav,stipa_1.55s_ambient noise_SNR10dB.wav,0.576,5.024,94.976,"[np.float64(12.203265953837704), np.float64(24.221446283535627), np.float64(27.72399537793332), np.float64(23.70657532461773), np.float64(21.413587878904686), np.float64(17.41566312259443), np.float64(25.372278550961404)]",21.722,"[0.55843757 0.53364313 0.64244851 0.47704768 0.60421084 0.60250641
 0.63175111]","[0.55843757 0.53364313 0.64244851 0.47704768 0.60421084 0.60250641
 0.63175111]","[0.90677553 1.         1.         1.         1.         1.
 1.        ]",1.550,10.000,11.722,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.88s_ambient noise_SNR-10dB.wav,stipa_1.88s_ambient noise_SNR-10dB.wav,0.405,70.320,29.680,"[np.float64(-13.232113990734868), np.float64(7.193078739240154), np.float64(0.7588352905011524), np.float64(7.025993344061627), np.float64(4.053865544625087), np.float64(2.7342269701492854), np.float64(6.594442885945791)]",2.161,"[0.05892953 0.54734902 0.37679391 0.45565983 0.44624664 0.45393144
 0.48321111]","[0.43879288 0.54734902 0.37679391 0.45565983 0.44624664 0.45393144
 0.48321111]","[0.05892953 0.73976929 0.52529451 0.73419978 0.63512885 0.5911409
 0.71981476]",1.880,-10.000,12.161,Noise
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.88s_ambient noise_SNR0dB.wav,stipa_1.88s_ambient noise_SNR0dB.wav,0.551,23.866,76.134,"[np.float64(-0.927533394973048), np.float64(17.193798821675692), np.float64(10.615375934964321), np.float64(16.991398817373174), np.float64(14.100859508829844), np.float64(12.759377016954298), np.float64(16.582305941201792)]",12.474,"[0.44477092 0.64273473 0.49250044 0.5081786  0.56105755 0.62803694
 0.57164918]","[0.44477092 0.64273473 0.49250044 0.5081786  0.56105755 0.62803694
 0.57164918]","[0.46908222 1.         0.85384586 1.         0.97002865 0.92531257
 1.        ]",1.880,0.000,12.474,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_1.88s_ambient noise_SNR10dB.wav,stipa_1.88s_ambient noise_SNR10dB.wav,0.588,7.950,92.050,"[np.float64(9.216862615411316), np.float64(27.147593195695585), np.float64(20.5888946267515), np.float64(26.956325474145203), np.float64(24.07778854944381), np.float64(22.718807554768343), np.float64(26.48956704160154)]",22.457,"[0.50592449 0.67120322 0.52628467 0.52022595 0.59135286 0.68989808
 0.59289664]","[0.50592449 0.67120322 0.52628467 0.52022595 0.59135286 0.68989808
 0.59289664]","[0.80722875 1.         1.         1.         1.         1.
 1.        ]",1.880,10.000,12.457,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_2.58s_ambient noise_SNR-10dB.wav,stipa_2.58s_ambient noise_SNR-10dB.wav,0.343,79.612,20.388,"[np.float64(-5.664132399543927), np.float64(4.43679392970355), np.float64(3.392536764251057), np.float64(4.97555022526882), np.float64(2.200610116155295), np.float64(4.77951077358724), np.float64(9.13808386146535)]",3.323,"[0.31119559 0.42234478 0.40964835 0.33861242 0.29100819 0.35135186
 0.3275861 ]","[0.44950305 0.42234478 0.40964835 0.33861242 0.29100819 0.35135186
 0.3275861 ]","[0.31119559 0.64789313 0.61308456 0.66585167 0.57335367 0.65931703
 0.8046028 ]",2.580,-10.000,13.323,Noise
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_2.58s_ambient noise_SNR0dB.wav,stipa_2.58s_ambient noise_SNR0dB.wav,0.412,13.932,86.068,"[np.float64(4.5324379989321635), np.float64(14.44305763592423), np.float64(13.313290588066007), np.float64(14.93839293409312), np.float64(12.243104013329253), np.float64(14.796269136354294), np.float64(19.133660490250257)]",13.343,"[0.47991147 0.48954828 0.48034535 0.36350036 0.35356065 0.42050971
 0.35385589]","[0.47991147 0.48954828 0.48034535 0.36350036 0.35356065 0.42050971
 0.35385589]","[0.65108127 0.98143525 0.94377635 0.99794643 0.90810347 0.99320897
 1.        ]",2.580,0.000,13.343,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_2.58s_ambient noise_SNR10dB.wav,stipa_2.58s_ambient noise_SNR10dB.wav,0.430,2.120,97.880,"[np.float64(14.47122404348972), np.float64(24.429298458749713), np.float64(23.294808609236636), np.float64(24.924258337002296), np.float64(22.25118823171911), np.float64(24.781787374847354), np.float64(29.056712521771818)]",23.316,"[0.53197169 0.50593305 0.49647879 0.37129825 0.3696725  0.43645403
 0.35914068]","[0.53197169 0.50593305 0.49647879 0.37129825 0.3696725  0.43645403
 0.35914068]","[0.98237413 1.         1.         1.         1.         1.
 1.        ]",2.580,10.000,13.316,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.57s_ambient noise_SNR-10dB.wav,stipa_3.57s_ambient noise_SNR-10dB.wav,0.344,72.446,27.554,"[np.float64(-9.523894433261527), np.float64(5.964558289812646), np.float64(4.865129450085483), np.float64(4.272997282629209), np.float64(1.604227916315992), np.float64(2.654442934250361), np.float64(5.675683003502052)]",2.216,"[0.18253685 0.40675907 0.37917965 0.35792101 0.33163763 0.38911916
 0.37622175]","[0.43500244 0.40675907 0.37917965 0.35792101 0.33163763 0.38911916
 0.37622175]","[0.18253685 0.69881861 0.66217098 0.64243324 0.55347426 0.58848143
 0.68918943]",3.570,-10.000,12.216,Noise
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.57s_ambient noise_SNR0dB.wav,stipa_3.57s_ambient noise_SNR0dB.wav,0.443,18.139,81.861,"[np.float64(1.720711900589518), np.float64(16.001980964568304), np.float64(14.81733270087895), np.float64(14.237652392784657), np.float64(11.66420313205032), np.float64(12.652057173720387), np.float64(15.678327384328089)]",12.396,"[0.45283187 0.44372054 0.44079491 0.40339929 0.4266287  0.50834418
 0.44088685]","[0.45283187 0.44372054 0.44079491 0.40339929 0.4266287  0.50834418
 0.44088685]","[0.55735706 1.         0.99391109 0.97458841 0.88880677 0.92173524
 1.        ]",3.570,0.000,12.396,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.57s_ambient noise_SNR10dB.wav,stipa_3.57s_ambient noise_SNR10dB.wav,0.466,4.277,95.723,"[np.float64(11.834938703353776), np.float64(25.980588593794106), np.float64(24.795958546537754), np.float64(24.223923272260816), np.float64(21.667197328513012), np.float64(22.625472758212595), np.float64(25.635332213215776)]",22.395,"[0.50031063 0.45444793 0.45539236 0.41636543 0.45020933 0.53940648
 0.45577771]","[0.50031063 0.45444793 0.45539236 0.41636543 0.45020933 0.53940648
 0.45577771]","[0.89449796 1.         1.         1.         1.         1.
 1.        ]",3.570,10.000,12.395,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.60s_ambient noise_SNR-10dB.wav,stipa_3.60s_ambient noise_SNR-10dB.wav,0.328,78.730,21.270,"[np.float64(-10.621338722842157), np.float64(6.035275559263868), np.float64(5.230733899946429), np.float64(4.1967499166796305), np.float64(0.04568324175161921), np.float64(-0.44848899841028866), np.float64(2.344186605236269)]",0.969,"[0.14595538 0.47267675 0.43034984 0.38445949 0.29427097 0.28351673
 0.34880793]","[0.43098636 0.47267675 0.43034984 0.38445949 0.29427097 0.28351673
 0.34880793]","[0.14595538 0.70117585 0.6743578  0.63989166 0.50152277 0.48505037
 0.57813955]",3.600,-10.000,10.969,Noise
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.60s_ambient noise_SNR0dB.wav,stipa_3.60s_ambient noise_SNR0dB.wav,0.445,23.900,76.100,"[np.float64(1.066528865050906), np.float64(16.13510324343365), np.float64(15.173510414634407), np.float64(14.157719925019263), np.float64(10.089505388612437), np.float64(9.572424145370814), np.float64(12.347707635895954)]",11.220,"[0.45663895 0.53087755 0.51049817 0.43884657 0.39595046 0.40543999
 0.44736012]","[0.45663895 0.53087755 0.51049817 0.43884657 0.39595046 0.40543999
 0.44736012]","[0.53555096 1.         1.         0.971924   0.83631685 0.8190808
 0.91159025]",3.600,0.000,11.220,Reverb
C:\Users\itama\OneDrive\מסמכים\GitHub\STIPA-python\STIPA-recs\STIPA recs simulations\small dataset\dataset\stipa_3.60s_ambient noise_SNR10dB.wav,stipa_3.60s_ambient noise_SNR10dB.wav,0.477,4.833,95.167,"[np.float64(11.240828437132954), np.float64(26.122668567441394), np.float64(25.126584484063702), np.float64(24.142686371946425), np.float64(20.09047091683464), np.float64(19.561977869760643), np.float64(22.336273163909887)]",21.232,"[0.54578586 0.54406393 0.53174292 0.45109265 0.42253916 0.44588107
 0.47074365]","[0.54578586 0.54406393 0.53174292 0.45109265 0.42253916 0.44588107
 0.47074365]","[0.87469428 1.         1.         1.         1.         1.
 1.        ]",3.600,10.000,11.232,Reverb
